District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,354337,185349,168988,433344,228554,204790,684495,398151,286344,506214,178281,949914,390960,76277,17185,200073,1582335,45488,439,296,94,3737,115,1905,35600,195277,1719,14539,361084,59610,420694,229035,235474,208537,135234,92559,90833,13764,1005436,681980,1687416,1047136,358718,210117,18438,84799,6664,35818,62106,4879,189893,3856,82113,202591,7819,14177,192676,85330,50480,284497,4381,37470,145,3442,1850,1774,1353,205499,239174,25416,199528,17,69,4314,10195,151190,60038,5795,54241,91306,7163,22530,29693,23712,129560,47803,58045,100766,30810,79601,197083,49469,18290,23883,4287,1306,20394,286,745,612,1357,74,98,172,122,198,320,151,2286
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,1003302,524831,478471,527966,276638,251328,2464893,1714947,749946,2060010,404883,4161285,744374,131523,91011,1497985,5819980,687452,12708,18782,1020,81079,257,4900,570997,990085,76565,182350,754841,977838,1732679,819004,875940,823570,659389,455527,703673,96562,4433665,2046038,6479703,4091148,1646480,884057,4493,393025,142866,323016,523398,46724,799337,141437,764302,974168,128107,28725,993436,816767,694107,1001457,127486,117380,1007,54544,3298,1616,20309,329137,447406,32079,369476,506,1608,31144,76809,347145,636260,43551,661375,199415,27696,74295,101991,107364,557723,225998,224361,342195,143995,162499,740126,198552,84826,117273,23600,8847,89953,890,3164,3578,6742,1130,645,1775,509,827,1336,1476,12219
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,418806,216523,202283,75349,39098,36251,1006504,657854,348650,698711,307793,1670829,501311,87889,22776,394528,2342076,327583,1122,356,177,4050,15,1954,131342,339457,5647,28382,527560,178274,705834,369959,438872,367412,282595,200430,181282,19321,1859871,967497,2827368,1672813,605002,381226,18292,76325,22494,82757,77340,13092,337713,10754,218772,384989,34184,11294,374975,328313,222955,434072,7418,62584,160,54890,636,250,30124,117400,221761,18835,148166,81,146,14030,24043,170669,212651,9786,248633,101296,6964,19690,26654,30424,192243,72596,89223,155915,70901,62393,265630,92135,42387,58649,11892,4370,29299,430,1247,1144,2391,166,173,339,197,319,516,359,4033
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,699911,360451,339460,10418,5475,4943,1425882,857031,568851,985927,439955,1881861,734614,263401,29647,398220,2833443,454487,1912,366,163,12940,276,4156,97267,347344,4449,35328,675712,166489,842201,513871,486057,388822,242053,147701,117444,14853,1910801,1533137,3443938,2088323,754143,463469,1808,90046,26150,105371,94315,11735,426132,9194,184518,465022,27155,32964,506680,393528,209311,562803,15019,101530,386,32635,9971,9556,16974,190413,372135,43217,65609,644,346,61679,221537,259545,166213,158868,237329,44579,13321,36941,50262,46062,256563,97478,113023,205188,71928,158183,360200,124145,42635,56894,10858,3401,42702,557,1555,1344,2899,176,205,381,250,407,657,371,4863
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,608024,315199,292825,118924,61969,56955,1489741,965103,524638,1056479,433262,2197424,592370,242017,42412,612942,3224399,411558,6035,4123,514,36697,80,3759,197135,408808,19335,54808,584215,307442,891657,497762,512035,405132,259304,154789,177199,30720,2036941,1591957,3628898,2359786,836322,489280,1777,193641,40768,185426,197296,20401,428590,35071,246002,491165,42174,25246,588447,481462,248676,574887,41870,152949,350,12684,5522,4877,7331,145116,373683,5894,108366,264,1945,69929,193611,230034,245426,121473,305339,85467,13297,39542,52839,53251,279280,105029,121000,224523,69936,151118,418390,119108,34698,44835,7937,2200,44245,540,1671,1676,3347,285,272,557,269,437,706,556,5708
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,99134,52776,46358,42429,22497,19932,288903,182565,106338,175383,113520,381016,132466,43872,6835,105730,497045,168129,874,1723,98,1521,34,495,12431,43141,754,7416,159117,30830,189947,109484,71132,41264,20142,12759,10604,1720,267105,397649,664754,448969,140294,79977,679,11291,5218,19605,11355,1417,75669,1426,19388,81102,4016,3396,106416,79428,26456,107832,3328,44804,87,3661,237,209,1894,33971,85629,5029,22039,455,5542,9827,55031,59269,15653,39207,27456,15114,3097,8393,11490,9631,45064,15755,19678,43972,12873,38477,80220,17296,4594,5828,1001,233,10055,110,309,278,587,36,41,77,49,79,128,86,986
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,436414,228431,207983,176257,92610,83647,1202482,696240,506242,741367,461115,1401269,754260,132696,30565,284961,2244882,321192,1157,450,157,34010,34,1869,39580,126494,2766,37730,542825,55980,598805,406804,352636,219932,101291,52272,39533,7328,1179796,1501858,2681654,1731122,527629,326476,18524,47366,27009,69144,39804,7606,278070,5298,52926,299183,13507,22802,384807,234694,66597,436661,8087,140713,360,6260,7512,7370,8005,213082,379069,50702,66514,892,614,114728,220990,213099,56954,104756,95785,54551,8560,29664,38224,39063,180122,61824,79235,184503,44927,177723,313839,77361,15768,19460,3021,671,37116,426,1121,931,2052,103,136,239,176,285,461,259,3437
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,357196,185342,171854,178719,93290,85429,896644,494906,401738,660719,235925,932086,493355,158013,21867,223409,1732852,78990,730,231,144,14640,82,1061,39745,161845,1585,12794,419216,48202,467418,270997,277152,181691,75304,32366,25210,7850,870570,1033534,1904104,1176496,390598,249379,12257,37596,12367,41923,34799,5259,223035,2410,54245,237522,9228,26360,230923,145214,51153,315704,9562,74892,263,13057,3877,3746,1915,184302,276968,39607,65366,103,2654,44978,82824,120431,116788,35089,136516,58639,6650,20126,26776,26353,133261,45075,61833,135499,33980,92297,221234,63191,15317,19356,3324,715,25735,287,790,678,1468,92,94,186,120,194,314,217,2470
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,201863,104899,96964,292470,148966,143504,419829,272196,147633,313292,106537,616517,124080,97823,9443,188483,996562,30479,1284,572,114,6829,56,450,47182,134089,2146,10297,238535,69639,308174,117971,147381,110385,58213,30724,27076,5251,497001,577092,1074093,649290,244401,142251,404,52893,6343,22809,38817,4338,111563,4483,65197,125006,9105,11967,168576,91080,54218,184197,13430,30147,42,12668,382,352,1798,111180,147134,29684,80219,77,307,4072,8699,76134,75510,4243,81766,12864,6763,15992,22755,20982,95045,34244,39819,70076,14384,50616,141471,31461,5958,7260,1113,189,22068,157,481,442,923,117,63,180,70,113,183,180,1621
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,398096,203328,194768,144578,74369,70209,842327,523077,319250,605288,237039,1195246,243491,237280,26119,335437,1870543,143476,1345,1540,141,18974,52,1502,94821,326793,4043,19270,512909,139808,652717,293818,359329,271312,144581,71472,67021,9403,1216936,983050,2199986,1207983,467436,343384,18770,175945,14175,75807,109098,15232,273115,8336,154761,316935,28588,20656,371789,274998,124303,396294,26351,101128,272,20836,13719,13426,8130,153994,298830,52682,96554,149,465,18509,73144,172802,150135,54021,197827,17013,18978,43913,62891,44718,194781,69808,80255,139518,31802,106055,292954,69280,16371,20467,3334,762,46291,321,997,906,1903,227,130,357,149,242,391,345,3317
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,478027,243750,234277,63482,32408,31074,1053722,686149,367573,827181,226541,1529330,298856,145523,35602,573741,2201663,314159,10605,6799,417,45614,184,3611,171799,393498,13499,41732,409335,274919,684254,379043,394576,313680,200191,130608,172683,28138,1618919,1034334,2653253,1561077,629951,388040,3984,187324,24509,93013,175460,14510,307831,29286,250461,363250,40909,12075,400166,305048,204571,437083,40066,90539,527,2477,4015,3506,3248,178883,273445,54856,149028,126,324,14662,29029,150655,194127,13917,247504,12999,18014,42264,60278,49429,230721,88933,92359,147203,45729,139149,314176,83680,25926,33606,5942,1738,52469,372,1227,1280,2507,273,211,484,197,319,516,460,4339
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330,287903,148110,139793,178207,92677,85530,649161,371848,277313,495797,153364,772165,326083,113426,16004,193648,1243527,153146,754,378,122,22458,30,911,32359,158264,1908,12482,298911,81755,380666,237191,190750,154825,91853,64431,67155,9919,816124,661902,1478026,880194,334006,205593,1533,93547,6295,30323,68174,6275,172900,4140,83447,189703,10528,5457,233360,92778,49974,258120,7695,44587,143,2042,2990,2436,1728,175062,216562,33020,169669,43,353,1188,5207,123244,54174,3623,58786,10771,8530,23068,31598,26217,127103,48978,51908,84470,24669,90422,175326,49640,15166,19827,3484,1177,23047,227,668,593,1261,104,89,193,105,171,276,187,2145
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,210788,109333,101455,228549,119454,109095,526091,314806,211285,361070,165021,584815,250453,111388,11172,153078,1017688,66609,682,11059,144,13455,24,1245,33406,136969,1392,7705,239836,63452,303288,153500,159218,121104,63248,41227,41052,6460,585809,553622,1139431,686771,267648,155958,529,86810,5787,26257,58255,4429,131153,3132,78692,143433,7851,6801,181934,77636,42082,202701,13298,39413,233,1015,2850,2594,1355,142435,176706,10391,152557,19,436,3012,5297,107798,60819,1830,51021,34631,7534,20280,27814,23024,110344,41508,45812,67553,14360,51454,151094,36875,9429,11579,1783,367,20523,178,532,470,1002,99,68,167,81,132,213,162,1723
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,407947,206332,201615,229273,117026,112247,1148165,674589,473576,883329,264836,1260358,555168,163052,30149,399796,2224839,142427,1978,1468,183,35149,60,2419,93768,373644,6207,24014,530015,145865,675880,398993,338296,258990,141250,92785,106667,10928,1347909,1180456,2528365,1439454,589476,365023,14570,212245,17508,52508,150972,11686,301587,13309,175393,341043,27770,15482,427165,231845,115740,450389,37857,107525,493,4542,1241,756,2867,261752,372754,72387,218844,104,356,7027,15906,202416,134845,8419,183367,37066,24867,54484,79351,55799,239919,92863,91257,141742,32585,156336,320832,87757,23072,28722,4572,1078,56286,369,1117,1033,2150,208,152,360,171,278,449,367,3694
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,148168,74738,73430,160809,81173,79636,550831,319534,231297,362584,188247,605766,207582,106587,13505,223157,1105676,33677,759,260,100,14966,68,1091,36073,193276,1989,9222,304622,61054,365676,190090,190388,140839,72969,41063,34286,4732,674367,544517,1218884,687165,275099,193668,665,65503,7060,25325,62714,4505,154105,4460,80267,168164,9554,9161,207998,105451,49135,229656,13593,46691,57,919,1584,1509,1265,140037,194683,45811,105782,112,116,2042,6014,104150,70203,3744,86777,8412,12700,28148,40848,27152,114960,43009,44799,73846,15834,71135,159285,44271,11252,13851,2124,475,28081,176,543,488,1031,139,66,205,77,125,202,208,1821
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,52267,26543,25724,983437,491631,491806,641515,346624,294891,216411,425104,747037,227849,184330,12514,216822,1340065,28662,830,240,226,16141,853,1535,26351,141275,1477,11742,322816,31547,354363,238847,175059,114245,60656,42887,39312,4834,675840,764563,1440403,868458,317700,191917,10477,18435,4385,15969,34909,2783,105158,3252,46510,115373,7432,16802,271018,62463,38043,273174,6186,23894,140,1547,326,155,850,221093,244283,48397,185132,303,2333,942,4328,109767,52248,750,44442,21374,6440,24887,31327,35094,145073,54551,55428,95634,11522,121541,208338,45907,5454,6207,662,91,23104,201,611,530,1141,165,68,233,84,136,220,236,2030
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,80091,40639,39452,1372999,690476,682523,916574,482236,434338,542983,373591,880911,546569,199370,19818,150817,1701234,48834,22250,427,138,22613,109,1880,34189,120603,2324,15062,390437,39407,429844,240067,190259,137780,75011,50438,47094,8145,748794,1040914,1789708,1153029,406214,216554,21688,39865,5287,23743,45930,2982,96893,4888,48693,108760,8885,31554,347302,72390,45574,352341,10180,28704,498,1162,418,285,1942,293669,318917,57089,260885,1523,4482,1279,8695,147013,56756,1411,38137,13454,7473,35994,43467,47159,192481,71712,73610,116222,13889,162290,279122,52822,5271,5992,617,104,28123,286,839,723,1562,187,94,281,118,192,310,296,2734
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974,250224,126748,123476,201546,101893,99653,802755,456632,346123,656904,145851,741583,453201,123469,15435,210650,1413163,97855,1274,1515,252,25843,136,4300,59190,268172,4941,16560,366780,88873,455653,245603,225700,170455,90889,58129,67155,10768,868699,715545,1584244,880043,398303,258997,6995,173375,11261,39709,103489,6835,199003,9661,119801,223599,17761,10716,284116,138788,67820,293931,27803,65107,146,1132,606,431,996,187661,252808,12138,170528,59,431,3815,6206,150191,96673,1901,136583,54549,16242,37161,53403,41089,171060,68666,61305,84548,17438,79585,212406,61690,14687,17882,2621,574,34471,319,973,888,1861,213,124,337,142,231,373,349,3238
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,405408,211161,194247,183816,96428,87388,748811,534650,214161,577548,171263,1202203,140262,134992,25125,448432,1661307,243993,5665,11058,280,25742,286,2683,165563,339899,12843,36297,203454,311735,515189,286676,294591,250092,172538,118710,167778,27485,1317870,588142,1906012,1177474,495896,275396,2248,150716,24848,56930,147206,11234,245637,25780,236764,283909,27038,8541,348345,265337,195286,300393,69588,75521,372,1893,10351,9880,4373,114488,177058,4748,144578,104,524,2528,4043,113176,220850,887,225351,32662,15013,32368,47381,43571,205204,82625,79008,103081,24159,45799,263575,60434,15559,19386,3084,743,36430,254,924,1024,1948,244,174,418,152,247,399,375,3394
128,RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700,221184,114969,106215,276857,143094,133763,552583,329754,222829,359785,192798,670172,216538,185037,15258,135750,1133349,79984,1432,3066,84,2795,48,1997,32685,161310,1363,9491,249184,69804,318988,203489,194024,144190,76209,46847,49939,8057,722755,545842,1268597,762204,286344,173100,1107,61129,5741,22480,59954,4185,140980,3107,88344,150412,5247,6858,219215,92962,42258,223828,13069,53021,141,1110,2465,2086,1603,147359,194869,19620,158878,43,463,1968,3494,115070,60902,1020,57191,51719,6693,22098,28791,24758,120591,45415,50418,76898,14041,64349,170718,41104,8689,10462,1441,332,18037,202,556,479,1035,63,74,137,91,146,237,129,1741
